Latitude,Longitude,Depth,Magnitude,Magnitude Type
60.281,-141.418,15,6.5,1
23.764,121.56,40,5.9,1
-5.01,153.06,25,6,1
-1.734,126.53,30,5.8,0
51.813,176.53,44.6,5.7,0
-63.159,-163.707,10,6.1,1
52.99,-167.739,45,7.8,1
22.338,101.496,35,5.9,1
-22.567,172.939,35,5.8,0
38.384,22.545,20,6.3,1
46.591,152.467,45,5.6,0
-4.408,155.062,490,6.3,1
-6.819,105.505,35,5.7,0
-28.428,-68.25,112.4,5.7,0
7.74,123.811,570,6,1
-9.72,159.888,25,5.9,1
7.56,124.247,24.6,5.7,0
53.318,170.365,28.8,5.5,0
1.813,99.276,105,5.5,0
41.278,146.682,15,5.6,0
51.472,175.894,20.1,5.7,0
-2.335,101.767,140,5.6,0
51.05,-171.289,21.4,6.8,1
50.799,-171.607,15,5.7,0
51.076,-171.466,20,5.6,0
6.789,-72.907,160,5.6,0
-32.441,-178.803,45,5.9,1
-56.046,157.922,10,7.3,1
-7.526,-81.179,26.3,5.7,0
-5.213,151.701,60,6.5,1
-15.449,166.98,25,7.2,1
-15.67,167.216,30,5.8,0
-15.685,167.097,30,6.9,1
-15.741,167.26,30,6,1
-15.861,167.092,30,7.6,1
-15.817,167.399,30,6.9,1
-5.36,152.116,51,6.8,1
-15.931,167.392,35,5.9,1
-15.97,167.439,30,5.8,0
-15.995,166.96,25,6.1,1
-15.871,166.96,25,7.4,1
-16.198,167.607,35,7.2,1
-16.801,167.602,35,6.2,1
-6.38,148.543,30,6,1
-15.819,166.794,20,6,1
-11.385,166.332,35,5.7,0
-0.53,-19.951,15,6.2,1
4.872,95.836,65,6.1,1
-15.185,166.67,30,5.8,0
-15.945,166.999,25,6.2,1
-5.714,128.493,330,6.7,1
-18.954,-68.82,124,6.7,1
-22.887,-176.194,75,6.1,1
-5.921,103.993,45,5.6,0
40.459,26.206,15,6,1
16.081,-95.867,25,7.4,1
15.837,-96.235,25,5.8,0
44.453,149.06,30,5.7,0
-16.931,167.454,30,5.8,0
-6.428,104.667,55,5.7,0
-34.596,179.922,100,5.8,0
51.867,175.451,31,5.5,0
46.515,153.387,15,5.9,1
58.09,-152.525,27.8,7,1
57.513,-152.263,25,5.7,0
6.47,-84.408,15,6.2,1
-5.349,152.955,44.6,6.2,1
-6.209,151.651,15,6.1,1
-6.416,70.726,25,6.3,1
55.338,165.731,18.9,5.9,1
-36.448,-97.6,15,6.1,1
8.382,126.895,35,5.8,0
7.156,126.522,160,6,1
-1.443,-77.476,185.9,6.5,1
36.269,141.533,35,5.8,0
36.245,141.53,35,5.9,1
36.27,141.361,35,6.8,1
8.188,126.874,25,6,1
28.952,128.227,197.6,6.7,1
20.682,99.326,35,5.9,1
-5.391,151.631,55,5.9,1
36.395,141.46,35,6.3,1
13.092,145.167,45,5.6,0
39.626,143.357,27.5,5.7,0
-54.757,-38.244,10,5.8,0
51.752,175.5,35,5.6,0
-28.278,-177.999,25,6.5,1
59.28,-144.06,20,6.1,1
49.937,178.166,19.7,6.8,1
-19.921,174.48,545.5,6.2,1
-60.468,-24.551,10,6,1
49.426,156.417,50,5.9,1
-42.969,-75.225,22.2,5.9,1
12.347,114.485,20,5.9,1
-59.225,-25.091,20,5.8,0
56.19,-153.615,25,5.6,0
3.113,128.558,192.4,5.7,0
-7.981,156.287,15,5.7,0
-1.28,127.725,25,6.3,1
52.366,174.254,35,6.1,1
53.901,-165.403,45,5.6,0
4.203,125.787,145.1,5.9,1
49.646,156.116,60,5.6,0
44.12,145.389,170,6.7,1
-1.257,127.735,25,5.6,0
-9.031,-71.139,593.8,6.7,1
-22.457,-113.788,15,6.1,1
-3.144,143.789,15,5.9,1
-22.126,-113.928,15,6.2,1
30.628,140.23,20,6.4,1
43.745,87.843,35,6.5,1
-29.414,-68.166,45,5.7,0
